code;oblast;name;pop_number
5924756200;Сумська;смт Хотінь;2364
5925000000;Сумська;Тростянецький район;33413
5925010100;Сумська;м. Тростянець;19985
5925300000;Сумська;Шосткинський район;19420
5925355300;Сумська;смт Вороніж;6769
5925600000;Сумська;Ямпільський район;22412
5925610300;Сумська;м. Дружба;4654
5925655100;Сумська;смт Ямпіль;4406
5925655700;Сумська;смт Свеса;6404
6100000000;Тернопільська;Тернопільська область;1038695
6110100000;Тернопільська;м. Тернопіль;223462
6110300000;Тернопільська;м. Чортків;28686
6110500000;Тернопільська;м. Бережани (міськрада);18941
6110510100;Тернопільська;м. Бережани;17430
6110700000;Тернопільська;м. Кременець;20827
6120400000;Тернопільська;Бережанський район;20453
6120800000;Тернопільська;Борщівський район;64966
6120810100;Тернопільська;м. Борщів;10803
6120855400;Тернопільська;смт Мельниця-Подільська;3676
6120855700;Тернопільська;смт Скала-Подільська;4201
6121200000;Тернопільська;Бучацький район;62242
6121210100;Тернопільська;м. Бучач;12378
6121255500;Тернопільська;смт Золотий Потік;2374
6121600000;Тернопільська;Гусятинський район;57964
6121610400;Тернопільська;м. Копичинці;6627
6121611000;Тернопільська;м. Хоростків;6738
6121655100;Тернопільська;смт Гусятин;7081
6121655400;Тернопільська;смт Гримайлів;1814
6122000000;Тернопільська;Заліщицький район;44966
6122010100;Тернопільська;м. Заліщики;9089
6122055500;Тернопільська;смт Товсте;3218
6122400000;Тернопільська;Збаразький район;55844
6122410100;Тернопільська;м. Збараж;13587
6122455300;Тернопільська;смт Вишнівець;3236
6122600000;Тернопільська;Зборівський район;39947
6122610100;Тернопільська;м. Зборів;6669
6122655300;Тернопільська;смт Залізці;2572
6123000000;Тернопільська;Козівський район;36394
6123055100;Тернопільська;смт Козова;8937
6123055400;Тернопільська;смт Козлів;1804
6123400000;Тернопільська;Кременецький район;45884
6123410500;Тернопільська;м. Почаїв;7737
6123800000;Тернопільська;Лановецький район;28410
6123810100;Тернопільська;м. Ланівці;8401
6124200000;Тернопільська;Монастириський район;25889
6124210100;Тернопільська;м. Монастириська;5551
6124255500;Тернопільська;смт Коропець;3146
6124600000;Тернопільська;Підволочиський район;40668
6124610500;Тернопільська;м. Скалат;3833
6124655100;Тернопільська;смт Підволочиськ;7754
6124800000;Тернопільська;Підгаєцький район;17534
6124810100;Тернопільська;м. Підгайці;2654
6125000000;Тернопільська;Теребовлянський район;62962
6125010100;Тернопільська;м. Теребовля;13325
6125055300;Тернопільська;смт Дружба;1889
6125055400;Тернопільська;смт Микулинці;3604
6125200000;Тернопільська;Тернопільський район;67199
6125255200;Тернопільська;смт Велика Березовиця;8495
6125255400;Тернопільська;смт Великі Бірки;3378
6125500000;Тернопільська;Чортківський район;42832
6125555700;Тернопільська;смт Заводське;3334
6125800000;Тернопільська;Шумський район;32625
6125810100;Тернопільська;м. Шумськ;5417
6300000000;Харківська;Харківська область;2658461
6310100000;Харківська;м. Харків;1443207
6310400000;Харківська;м. Ізюм;46653
6310700000;Харківська;м. Куп'янськ (міськрада);54572
6310710100;Харківська;м. Куп'янськ;27584
6310745400;Харківська;смт Ківшарівка;18496
6310745700;Харківська;смт Куп'янськ-Вузловий;8492
6311000000;Харківська;м. Лозова (міськрада);63275
6311010100;Харківська;м. Лозова;54618
6311045400;Харківська;смт Панютине;7058
6311200000;Харківська;м. Люботин (міськрада);23501
6311210100;Харківська;м. Люботин;20646
6311500000;Харківська;м. Первомайський;29357
6312000000;Харківська;м. Чугуїв (міськрада);32724
6312010100;Харківська;м. Чугуїв;31861
6320200000;Харківська;Балаклійський район;78337
6320210100;Харківська;м. Балаклія;27249
6320255300;Харківська;смт Андріївка;8590
6320255700;Харківська;смт Савинці;5338
6320256000;Харківська;смт Донець;8680
6320400000;Харківська;Барвінківський район;20087
6320410100;Харківська;м. Барвінкове;8309
6320600000;Харківська;Близнюківський район;17799
6320655100;Харківська;смт Близнюки;3603
6320800000;Харківська;Богодухівський район;37563
6320810100;Харківська;м. Богодухів;15020
6320855300;Харківська;смт Гути;1685
6320855700;Харківська;смт Шарівка;1586
6321000000;Харківська;Борівський район;15972
6321055100;Харківська;смт Борова;5277
6321200000;Харківська;Валківський район;30791
6321210100;Харківська;м. Валки;8783
6321255400;Харківська;смт Ков'яги;3002
6321256000;Харківська;смт Старий Мерчик;1822
6321400000;Харківська;Великобурлуцький район;21256
6321455100;Харківська;смт Великий Бурлук;3717
6321455600;Харківська;смт Приколотне;1985
6321600000;Харківська;Вовчанський район;44448
6321610100;Харківська;м. Вовчанськ;17942
6321655300;Харківська;смт Білий Колодязь;3759
6321655500;Харківська;смт Вільча;1679
6321655800;Харківська;смт Старий Салтів;3399
6321700000;Харківська;Зміївський район;69135
6321710100;Харківська;м. Зміїв;14254
6321755300;Харківська;смт Зідьки;3769
6321755600;Харківська;смт Слобожанське;14017
6321800000;Харківська;Дворічанський район;16568
6321855100;Харківська;смт Дворічна;3459
6322000000;Харківська;Дергачівський район;92829
6322010100;Харківська;м. Дергачі;17655
6322055600;Харківська;смт Козача Лопань;5087
6322055900;Харківська;смт Мала Данилівка;8200
6322056200;Харківська;смт Вільшани;6805
6322056500;Харківська;смт Пересічне;6960
6322057000;Харківська;смт Прудянка;1807
6322057300;Харківська;смт Слатине;6158
6322057600;Харківська;смт Солоницівка;13526
6322200000;Харківська;Зачепилівський район;14491
6322255100;Харківська;смт Зачепилівка;3416
6322600000;Харківська;Золочівський район;24739
6322655100;Харківська;смт Золочів;8053
6322800000;Харківська;Ізюмський район;16416
6323100000;Харківська;Кегичівський район;20353
6323155100;Харківська;смт Кегичівка;5858
6323155600;Харківська;смт Слобожанське;2679
6323200000;Харківська;Коломацький район;6677
6323255100;Харківська;смт Коломак;2723
6323300000;Харківська;Красноградський район;43034
6323310100;Харківська;м. Красноград;20272
6323500000;Харківська;Краснокутський район;26907
6323555100;Харківська;смт Краснокутськ;7348
6323555400;Харківська;смт Костянтинівка;1138
6323700000;Харківська;Куп'янський район;23180
6323900000;Харківська;Лозівський район;27331
6323955400;Харківська;смт Краснопавлівка;6843
6323955700;Харківська;смт Орілька;2999
6324200000;Харківська;Нововодолазький район;31472
6324255100;Харківська;смт Нова Водолага;10734
6324255300;Харківська;смт Бірки;537
6324500000;Харківська;Первомайський район;14747
6324600000;Харківська;Печенізький район;9617
6324655100;Харківська;смт Печеніги;5112
6324800000;Харківська;Сахновщинський район;20181
6324855100;Харківська;смт Сахновщина;7105
6325100000;Харківська;Харківський район;176186
6325110700;Харківська;м. Мерефа;21598
6325111000;Харківська;м. Південне;7461
6325155300;Харківська;смт Бабаї;6643
6325155600;Харківська;смт Безлюдівка;9363
6325155800;Харківська;смт Березівка;1584
6325156100;Харківська;смт Буди;5969
6325156400;Харківська;смт Васищеве;5775
6325156700;Харківська;смт Високий;9945
6325157000;Харківська;смт Коротич;5027
6325157300;Харківська;смт Кулиничі;2982
6325157600;Харківська;смт Манченки;732
6325157900;Харківська;смт Пісочин;23537
6325158200;Харківська;смт Покотилівка;9394
6325158500;Харківська;смт Рогань;3381
6325158800;Харківська;смт Утківка;1191
6325159100;Харківська;смт Хорошеве;4119
6325400000;Харківська;Чугуївський район;45362
6325455300;Харківська;смт Введенка;2363
6325455600;Харківська;смт Кочеток;2986
6325455900;Харківська;смт Малинівка;7564
6325456200;Харківська;смт Новопокровка;4741
6325456700;Харківська;смт Чкаловське;3779
6325456800;Харківська;смт Есхар;5296
6325700000;Харківська;Шевченківський район;19694
6325755100;Харківська;смт Шевченкове;6780
6500000000;Херсонська;Херсонська область;1027913
6510100000;Херсонська;м. Херсон (міськрада);324602
6510110100;Херсонська;м. Херсон;286958
6510165300;Херсонська;смт Антонівка;12752
6510165600;Херсонська;смт Зеленівка;5757
6510165800;Херсонська;смт Наддніпрянське;1070
6510166400;Херсонська;смт Комишани;6828
6510300000;Херсонська;м. Гола Пристань (міськрада);14182
6510310100;Херсонська;м. Гола Пристань;13971
6510400000;Херсонська;м. Каховка;35795
6510700000;Херсонська;м. Нова Каховка (міськрада);65783
6510710100;Херсонська;м. Нова Каховка;45422
6510745300;Херсонська;смт Дніпряни;4089
6510770800;Херсонська;м. Таврійськ;10360
6520300000;Херсонська;Білозерський район;64790
6520355100;Херсонська;смт Білозерка;9494
6520600000;Херсонська;Бериславський район;45931
6520610100;Херсонська;м. Берислав;12250
6520655400;Херсонська;смт Козацьке;3700
6520900000;Херсонська;Великоолександрівський район;24494
6520955100;Херсонська;смт Велика Олександрівка;6538
6520955400;Херсонська;смт Біла Криниця;1194
6520955700;Херсонська;смт Калинівське;1100
6520956000;Херсонська;смт Кар'єрне;339
6521200000;Херсонська;Великолепетиський район;15961
6521255100;Херсонська;смт Велика Лепетиха;7958
6521500000;Херсонська;Верхньорогачицький район;11217
6521555100;Херсонська;смт Верхній Рогачик;5295
6521800000;Херсонська;Високопільський район;14119
6521855100;Херсонська;смт Високопілля;3942
6521855200;Херсонська;смт Архангельське;1780
6522100000;Херсонська;Генічеський район;58331
6522110100;Херсонська;м. Генічеськ;19424
6522155400;Херсонська;смт Новоолексіївка;10114
6522155700;Херсонська;смт Рикове;3503
6522300000;Херсонська;Голопристанський район;44639
6522600000;Херсонська;Горностаївський район;18993
6522655100;Херсонська;смт Горностаївка;6467
6522900000;Херсонська;Іванівський район;13172
6522955100;Херсонська;смт Іванівка;4427
6523200000;Херсонська;Каланчацький район;21032
6523255100;Херсонська;смт Каланчак;9212
6523255400;Херсонська;смт Мирне;1858
6523500000;Херсонська;Каховський район;34521
6523555100;Херсонська;смт Любимівка;5570
6523800000;Херсонська;Нижньосірогозький район;15033
6523855100;Херсонська;смт Нижні Сірогози;4626
6524100000;Херсонська;Нововоронцовський район;20251
6524155100;Херсонська;смт Нововоронцовка;6162
6524400000;Херсонська;Новотроїцький район;34747
6524455100;Херсонська;смт Новотроїцьке;10645
6524455500;Херсонська;смт Сиваське;4211
6524700000;Херсонська;Скадовський район;46043
6524710100;Херсонська;м. Скадовськ;17640
6524755500;Херсонська;смт Лазурне;3107
6525000000;Херсонська;Олешківський район;70128
6525010100;Херсонська;м. Олешки;24520
6525055300;Херсонська;смт Брилівка;4222
6525055700;Херсонська;смт Нова Маячка;6757
6525400000;Херсонська;Чаплинський район;34149
6525455100;Херсонська;смт Чаплинка;9622
6525455300;Херсонська;смт Асканія-Нова;2638
6800000000;Хмельницька;Хмельницька область;1254702
6810100000;Хмельницька;м. Хмельницький;273713
6810400000;Хмельницька;м. Кам'янець-Подільський;98970
6810500000;Хмельницька;м. Нетішин;36746
6810600000;Хмельницька;м. Славута;35230
6810700000;Хмельницька;м. Шепетівка;41189
6810800000;Хмельницька;м. Старокостянтинів;34455
6820300000;Хмельницька;Білогірський район;25403
6820355100;Хмельницька;смт Білогір'я;5212
6820355600;Хмельницька;смт Ямпіль;1854
6820600000;Хмельницька;Віньковецький район;22740
6820655100;Хмельницька;смт Віньківці;6093
6820900000;Хмельницька;Волочиський район;48875
6820910100;Хмельницька;м. Волочиськ;18604
6820955300;Хмельницька;смт Війтівці;827
6820955700;Хмельницька;смт Наркевичі;1484
6821200000;Хмельницька;Городоцький район;45429
6821210100;Хмельницька;м. Городок;15919
6821255500;Хмельницька;смт Сатанів;2367
6821500000;Хмельницька;Деражнянський район;30458
6821510100;Хмельницька;м. Деражня;9969
6821555400;Хмельницька;смт Вовковинці;2432
6821555700;Хмельницька;смт Лозове;1519
6821800000;Хмельницька;Дунаєвецький район;59576
6821810100;Хмельницька;м. Дунаївці;15914
6821855300;Хмельницька;смт Дунаївці;2368
6821855700;Хмельницька;смт Смотрич;1779
6822100000;Хмельницька;Ізяславський район;41972
6822110100;Хмельницька;м. Ізяслав;16336
6822400000;Хмельницька;Кам'янець-Подільський район;63302
6822455800;Хмельницька;смт Стара Ушиця;2103
6822700000;Хмельницька;Красилівський район;49345
6822710100;Хмельницька;м. Красилів;18754
6822755200;Хмельницька;смт Антоніни;2180
6823000000;Хмельницька;Летичівський район;26490
6823055100;Хмельницька;смт Летичів;10244
6823055400;Хмельницька;смт Меджибіж;1296
6823300000;Хмельницька;Новоушицький район;26983
6823355100;Хмельницька;смт Нова Ушиця;4001
6823600000;Хмельницька;Полонський район;42648
6823610100;Хмельницька;м. Полонне;20620
6823655400;Хмельницька;смт Понінка;7120
6823900000;Хмельницька;Славутський район;28018
6824200000;Хмельницька;Старокостянтинівський район;27023
6824400000;Хмельницька;Старосинявський район;19093
6824455100;Хмельницька;смт Стара Синява;5221
6824700000;Хмельницька;Теофіпольський район;25353
6824755100;Хмельницька;смт Теофіполь;6396
6824755300;Хмельницька;смт Базалія;1520
6825000000;Хмельницька;Хмельницький район;52955
6825055500;Хмельницька;смт Чорний Острів;956
6825200000;Хмельницька;Чемеровецький район;38770
6825255100;Хмельницька;смт Чемерівці;5170
6825255400;Хмельницька;смт Закупне;1409
6825500000;Хмельницька;Шепетівський район;32100
6825555300;Хмельницька;смт Гриців;3467
6825800000;Хмельницька;Ярмолинецький район;27866
6825855100;Хмельницька;смт Ярмолинці;7315
7100000000;Черкаська;Черкаська область;1192137
7110100000;Черкаська;м. Черкаси (міськрада);275665
7110110100;Черкаська;м. Черкаси;274762
7110200000;Черкаська;м. Ватутіне (міськрада);16843
7110210100;Черкаська;м. Ватутіне;16200
7110300000;Черкаська;м. Канів;23597
7110400000;Черкаська;м. Золотоноша (міськрада);28601
7110410100;Черкаська;м. Золотоноша;27664
7110500000;Черкаська;м. Сміла (міськрада);66976
7110510100;Черкаська;м. Сміла;66972
7110800000;Черкаська;м. Умань;82603
7120300000;Черкаська;Городищенський район;38487
7120310100;Черкаська;м. Городище;13433
7120355400;Черкаська;смт Вільшана;3002
7120355700;Черкаська;смт Цвіткове;1178
7120600000;Черкаська;Драбівський район;32932
7120655100;Черкаська;смт Драбів;6243
7120900000;Черкаська;Жашківський район;35145
7120910100;Черкаська;м. Жашків;13451
7121200000;Черкаська;Звенигородський район;42176
7121210100;Черкаська;м. Звенигородка;16643
7121500000;Черкаська;Золотоніський район;39349
7121800000;Черкаська;Кам'янський район;25767
7121810100;Черкаська;м. Кам'янка;11328
7122000000;Черкаська;Канівський район;18587
7122200000;Черкаська;Катеринопільський район;23093
7122255100;Черкаська;смт Катеринопіль;5443
7122255400;Черкаська;смт Єрки;3932
7122500000;Черкаська;Корсунь-Шевченківський район;40625
7122510100;Черкаська;м. Корсунь-Шевченківський;17589
7122555500;Черкаська;смт Стеблів;3390
7122800000;Черкаська;Лисянський район;22202
7122855100;Черкаська;смт Лисянка;7618
7123100000;Черкаська;Маньківський район;26211
7123155100;Черкаська;смт Маньківка;7588
7123155300;Черкаська;смт Буки;1747
7123400000;Черкаська;Монастирищенський район;34817
7123410100;Черкаська;м. Монастирище;8494
7123455500;Черкаська;смт Цибулів;3512
7123700000;Черкаська;Смілянський район;31264
7124000000;Черкаська;Тальнівський район;31874
7124010100;Черкаська;м. Тальне;13156
7124300000;Черкаська;Уманський район;41994
7124355300;Черкаська;смт Бабанка;2215
7124600000;Черкаська;Христинівський район;33479
7124610100;Черкаська;м. Христинівка;10246
7124655300;Черкаська;смт Верхнячка;3547
7124900000;Черкаська;Черкаський район;73883
7124955300;Черкаська;смт Ірдинь;762
7125100000;Черкаська;Чорнобаївський район;39346
7125155100;Черкаська;смт Чорнобай;7096
7125400000;Черкаська;Чигиринський район;25410
7125410100;Черкаська;м. Чигирин;8655
7125700000;Черкаська;Шполянський район;41211
7125710100;Черкаська;м. Шпола;16616
7300000000;Чернівецька;Чернівецька область;901632
7310100000;Чернівецька;м. Чернівці;267060
7310600000;Чернівецька;м. Новодністровськ;10622
7320500000;Чернівецька;Вижницький район;55095
7320510100;Чернівецька;м. Вижниця;3917
7320510400;Чернівецька;м. Вашківці;5353
7320555300;Чернівецька;смт Берегомет;7604
7320700000;Чернівецька;Герцаївський район;33175
7320710100;Чернівецька;м. Герца;2102
7321000000;Чернівецька;Глибоцький район;74131
7321055100;Чернівецька;смт Глибока;9376
7321500000;Чернівецька;Заставнівський район;48198
7321510100;Чернівецька;м. Заставна;7860
7321555400;Чернівецька;смт Кострижівка;2614
7322000000;Чернівецька;Кельменецький район;39157
7322055100;Чернівецька;смт Кельменці;7136
7322500000;Чернівецька;Кіцманський район;68027
7322510100;Чернівецька;м. Кіцмань;6179
7322555400;Чернівецька;смт Лужани;4859
7322555700;Чернівецька;смт Неполоківці;2474
7323000000;Чернівецька;Новоселицький район;76744
7323010100;Чернівецька;м. Новоселиця;7566
7323500000;Чернівецька;Путильський район;26304
7323555100;Чернівецька;смт Путила;3423
7324000000;Чернівецька;Сокирянський район;41686
7324010100;Чернівецька;м. Сокиряни;8748
7324500000;Чернівецька;Сторожинецький район;100918
7324510100;Чернівецька;м. Сторожинець;14175
7324555400;Чернівецька;смт Красноїльськ;10351
7325000000;Чернівецька;Хотинський район;60515
7325010100;Чернівецька;м. Хотин;9132
7400000000;Чернігівська;Чернігівська область;991294
7410100000;Чернігівська;м. Чернігів;286899
7410400000;Чернігівська;м. Ніжин;68007
7410500000;Чернігівська;м. Новгород-Сіверський (міськрада);12862
7410510100;Чернігівська;м. Новгород-Сіверський;12862
7410700000;Чернігівська;м. Прилуки;53395
7420300000;Чернігівська;Бахмацький район;42381
7420310100;Чернігівська;м. Бахмач;17410
7420310300;Чернігівська;м. Батурин;2492
7420355600;Чернігівська;смт Дмитрівка;2184
7420600000;Чернігівська;Бобровицький район;31435
7420610100;Чернігівська;м. Бобровиця;10894
7420800000;Чернігівська;Борзнянський район;29500
7420810100;Чернігівська;м. Борзна;9775
7421100000;Чернігівська;Варвинський район;15186
7421155100;Чернігівська;смт Варва;7798
7421400000;Чернігівська;Городнянський район;26850
7421410100;Чернігівська;м. Городня;11852
7421700000;Чернігівська;Ічнянський район;29658
7421710100;Чернігівська;м. Ічня;10709
7421755300;Чернігівська;смт Дружба;974
7421755700;Чернігівська;смт Парафіївка;2249
7422000000;Чернігівська;Козелецький район;42282
7422010400;Чернігівська;м. Остер;5727
7422055100;Чернігівська;смт Козелець;7758
7422055400;Чернігівська;смт Десна;7372
7422200000;Чернігівська;Коропський район;21620
7422255100;Чернігівська;смт Короп;5136
7422255500;Чернігівська;смт Понорниця;1994
7422400000;Чернігівська;Корюківський район;25422
7422410100;Чернігівська;м. Корюківка;12539
7422455400;Чернігівська;смт Холми;2532
7422700000;Чернігівська;Куликівський район;15730
7422755100;Чернігівська;смт Куликівка;5132
7423000000;Чернігівська;Менський район;33730
7423010100;Чернігівська;м. Мена;11243
7423055300;Чернігівська;смт Березна;4444
7423055700;Чернігівська;смт Макошине;2133
7423300000;Чернігівська;Ніжинський район;25716
7423355400;Чернігівська;смт Лосинівка;3706
7423600000;Чернігівська;Новгород-Сіверський район;12340
7423800000;Чернігівська;Носівський район;27749
7423810100;Чернігівська;м. Носівка;13310
7424100000;Чернігівська;Прилуцький район;34406
7424155400;Чернігівська;смт Ладан;5883
7424155600;Чернігівська;смт Линовиця;2666
7424155900;Чернігівська;смт Мала Дівиця;1999
7424400000;Чернігівська;Ріпкинський район;25646
7424455100;Чернігівська;смт Ріпки;6923
7424455400;Чернігівська;смт Добрянка;2722
7424455700;Чернігівська;смт Замглай;1772
7424456000;Чернігівська;смт Любеч;1998
7424456400;Чернігівська;смт Радуль;480
7424700000;Чернігівська;Семенівський район;16790
7424710100;Чернігівська;м. Семенівка;8052
7424900000;Чернігівська;Сосницький район;17377
7424955100;Чернігівська;смт Сосниця;6796
7425100000;Чернігівська;Срібнянський район;10691
7425155100;Чернігівська;смт Срібне;3109
7425155400;Чернігівська;смт Дігтярі;1203
7425300000;Чернігівська;Талалаївський район;12065
7425355100;Чернігівська;смт Талалаївка;4745
7425500000;Чернігівська;Чернігівський район;51152
7425555200;Чернігівська;смт Гончарівське;3410
7425555400;Чернігівська;смт Михайло-Коцюбинське;2913
7425555700;Чернігівська;смт Олишівка;1860
7425556000;Чернігівська;смт Седнів;1078
7425800000;Чернігівська;Сновський район;22405
7425810100;Чернігівська;м. Сновськ;10928
8000000000;м. Київ;м. Київ;2967360
8036100000;м. Київ;Голосіївський район;253977
8036300000;м. Київ;Дарницький район;347743
8036400000;м. Київ;Деснянський район;368988
8036600000;м. Київ;Дніпровський район;358244
8038000000;м. Київ;Оболонський район;318805
8038200000;м. Київ;Печерський район;163184
8038500000;м. Київ;Подільський район;208448
8038600000;м. Київ;Святошинський район;342432
8038900000;м. Київ;Солом'янський район;383183
8039100000;м. Київ;Шевченківський район;218485
